Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,275.089996,281.100006,262.200012,277.489990,277.401031,743592100
2023-05-01,278.399994,419.380005,272.399994,378.339996,378.218658,1169636000
2023-06-01,384.890015,439.899994,373.559998,423.019989,422.884338,1052209200
2023-07-01,425.170013,480.880005,413.459991,467.290009,467.188538,870489500
2023-08-01,464.600006,502.660004,403.109985,493.549988,493.442780,1363143600
2023-09-01,497.619995,498.000000,409.799988,434.989990,434.895508,857510100
2023-10-01,440.299988,476.089996,392.299988,407.799988,407.744995,1013917700
2023-11-01,408.839996,505.480011,408.690002,467.700012,467.636963,914386300
2023-12-01,465.250000,504.329987,450.100006,495.220001,495.153229,740951700
2024-01-01,492.440002,634.929993,473.200012,615.270020,615.241150,970385300
2024-02-01,621.000000,823.940002,616.500000,791.119995,791.082886,1107569200
2024-03-01,800.000000,974.000000,794.349976,914.349976,914.307068,946049200
2024-03-22,911.630005,947.779907,908.340088,940.700012,940.700012,47113201
